initial leftsum: 131072
i: 16110, data[i]: 512, leftsum = 130560, rightSum = 512
i: 16066, data[i]: 8, leftsum = 127624, rightSum = 3448
i: 16065, data[i]: 8, leftsum = 127616, rightSum = 3456
i: 16064, data[i]: 128, leftsum = 127488, rightSum = 3584
i: 16063, data[i]: 64, leftsum = 127424, rightSum = 3648
i: 16062, data[i]: 32, leftsum = 127392, rightSum = 3680
i: 16061, data[i]: 8, leftsum = 127384, rightSum = 3688
i: 16060, data[i]: 8, leftsum = 127376, rightSum = 3696
i: 16059, data[i]: 16, leftsum = 127360, rightSum = 3712
i: 16058, data[i]: 64, leftsum = 127296, rightSum = 3776
i: 16057, data[i]: 8, leftsum = 127288, rightSum = 3784
i: 16056, data[i]: 8, leftsum = 127280, rightSum = 3792
i: 16055, data[i]: 16, leftsum = 127264, rightSum = 3808
i: 16054, data[i]: 16, leftsum = 127248, rightSum = 3824
i: 16053, data[i]: 8, leftsum = 127240, rightSum = 3832
i: 16052, data[i]: 8, leftsum = 127232, rightSum = 3840
i: 16051, data[i]: 128, leftsum = 127104, rightSum = 3968
i: 16050, data[i]: 128, leftsum = 126976, rightSum = 4096
i: 16049, data[i]: 64, leftsum = 126912, rightSum = 4160
i: 16048, data[i]: 64, leftsum = 126848, rightSum = 4224
i: 16047, data[i]: 16, leftsum = 126832, rightSum = 4240
i: 16046, data[i]: 16, leftsum = 126816, rightSum = 4256
i: 16045, data[i]: 32, leftsum = 126784, rightSum = 4288
i: 16044, data[i]: 64, leftsum = 126720, rightSum = 4352
i: 16043, data[i]: 16, leftsum = 126704, rightSum = 4368
i: 16042, data[i]: 16, leftsum = 126688, rightSum = 4384
i: 16041, data[i]: 32, leftsum = 126656, rightSum = 4416
i: 16040, data[i]: 32, leftsum = 126624, rightSum = 4448
i: 16039, data[i]: 32, leftsum = 126592, rightSum = 4480
i: 16038, data[i]: 64, leftsum = 126528, rightSum = 4544
i: 16037, data[i]: 16, leftsum = 126512, rightSum = 4560
i: 16036, data[i]: 16, leftsum = 126496, rightSum = 4576
i: 16035, data[i]: 32, leftsum = 126464, rightSum = 4608
i: 16034, data[i]: 16, leftsum = 126448, rightSum = 4624
i: 16033, data[i]: 8, leftsum = 126440, rightSum = 4632
i: 16032, data[i]: 8, leftsum = 126432, rightSum = 4640
i: 16031, data[i]: 8, leftsum = 126424, rightSum = 4648
i: 16030, data[i]: 8, leftsum = 126416, rightSum = 4656
i: 16029, data[i]: 4, leftsum = 126412, rightSum = 4660
i: 16028, data[i]: 4, leftsum = 126408, rightSum = 4664
i: 16027, data[i]: 8, leftsum = 126400, rightSum = 4672
i: 16026, data[i]: 64, leftsum = 126336, rightSum = 4736
i: 16025, data[i]: 16, leftsum = 126320, rightSum = 4752
i: 16024, data[i]: 8, leftsum = 126312, rightSum = 4760
i: 16023, data[i]: 8, leftsum = 126304, rightSum = 4768
i: 16022, data[i]: 2, leftsum = 126302, rightSum = 4770
i: 16021, data[i]: 2, leftsum = 126300, rightSum = 4772
i: 16020, data[i]: 4, leftsum = 126296, rightSum = 4776
i: 16019, data[i]: 4, leftsum = 126292, rightSum = 4780
i: 16018, data[i]: 4, leftsum = 126288, rightSum = 4784
i: 16017, data[i]: 4, leftsum = 126284, rightSum = 4788
i: 16016, data[i]: 2, leftsum = 126282, rightSum = 4790
i: 16015, data[i]: 2, leftsum = 126280, rightSum = 4792
i: 16014, data[i]: 1, leftsum = 126279, rightSum = 4793
i: 16013, data[i]: 0, leftsum = 126279, rightSum = 4793
i: 16012, data[i]: 0, leftsum = 126279, rightSum = 4793
i: 16011, data[i]: 1, leftsum = 126278, rightSum = 4794
i: 16010, data[i]: 1, leftsum = 126277, rightSum = 4795
i: 16009, data[i]: 1, leftsum = 126276, rightSum = 4796
i: 16008, data[i]: 2, leftsum = 126274, rightSum = 4798
i: 16007, data[i]: 1, leftsum = 126273, rightSum = 4799
i: 16006, data[i]: 0, leftsum = 126273, rightSum = 4799
i: 16005, data[i]: 0, leftsum = 126273, rightSum = 4799
i: 16004, data[i]: 0, leftsum = 126273, rightSum = 4799
i: 16003, data[i]: 0, leftsum = 126273, rightSum = 4799
i: 16002, data[i]: 1, leftsum = 126272, rightSum = 4800
i: 16001, data[i]: 8, leftsum = 126264, rightSum = 4808
i: 16000, data[i]: 8, leftsum = 126256, rightSum = 4816
i: 15999, data[i]: 16, leftsum = 126240, rightSum = 4832
i: 15998, data[i]: 4, leftsum = 126236, rightSum = 4836
i: 15997, data[i]: 4, leftsum = 126232, rightSum = 4840
i: 15996, data[i]: 1, leftsum = 126231, rightSum = 4841
i: 15995, data[i]: 1, leftsum = 126230, rightSum = 4842
i: 15994, data[i]: 2, leftsum = 126228, rightSum = 4844
i: 15993, data[i]: 4, leftsum = 126224, rightSum = 4848
i: 15992, data[i]: 4, leftsum = 126220, rightSum = 4852
i: 15991, data[i]: 4, leftsum = 126216, rightSum = 4856
i: 15990, data[i]: 4, leftsum = 126212, rightSum = 4860
i: 15989, data[i]: 2, leftsum = 126210, rightSum = 4862
i: 15988, data[i]: 2, leftsum = 126208, rightSum = 4864
i: 15987, data[i]: 128, leftsum = 126080, rightSum = 4992
i: 15986, data[i]: 64, leftsum = 126016, rightSum = 5056
i: 15985, data[i]: 64, leftsum = 125952, rightSum = 5120
i: 15984, data[i]: 64, leftsum = 125888, rightSum = 5184
i: 15983, data[i]: 64, leftsum = 125824, rightSum = 5248
i: 15982, data[i]: 128, leftsum = 125696, rightSum = 5376
i: 15981, data[i]: 32, leftsum = 125664, rightSum = 5408
i: 15980, data[i]: 32, leftsum = 125632, rightSum = 5440
i: 15979, data[i]: 64, leftsum = 125568, rightSum = 5504
i: 15978, data[i]: 4, leftsum = 125564, rightSum = 5508
i: 15977, data[i]: 4, leftsum = 125560, rightSum = 5512
i: 15976, data[i]: 8, leftsum = 125552, rightSum = 5520
i: 15975, data[i]: 16, leftsum = 125536, rightSum = 5536
i: 15974, data[i]: 32, leftsum = 125504, rightSum = 5568
i: 15973, data[i]: 32, leftsum = 125472, rightSum = 5600
i: 15972, data[i]: 32, leftsum = 125440, rightSum = 5632
i: 15971, data[i]: 256, leftsum = 125184, rightSum = 5888
i: 15970, data[i]: 256, leftsum = 124928, rightSum = 6144
i: 15969, data[i]: 32, leftsum = 124896, rightSum = 6176
i: 15968, data[i]: 16, leftsum = 124880, rightSum = 6192
i: 15967, data[i]: 16, leftsum = 124864, rightSum = 6208
i: 15966, data[i]: 64, leftsum = 124800, rightSum = 6272
i: 15965, data[i]: 64, leftsum = 124736, rightSum = 6336
i: 15964, data[i]: 64, leftsum = 124672, rightSum = 6400
i: 15963, data[i]: 8, leftsum = 124664, rightSum = 6408
i: 15962, data[i]: 4, leftsum = 124660, rightSum = 6412
i: 15961, data[i]: 4, leftsum = 124656, rightSum = 6416
i: 15960, data[i]: 16, leftsum = 124640, rightSum = 6432
i: 15959, data[i]: 32, leftsum = 124608, rightSum = 6464
i: 15958, data[i]: 16, leftsum = 124592, rightSum = 6480
i: 15957, data[i]: 16, leftsum = 124576, rightSum = 6496
i: 15956, data[i]: 8, leftsum = 124568, rightSum = 6504
i: 15955, data[i]: 4, leftsum = 124564, rightSum = 6508
i: 15954, data[i]: 4, leftsum = 124560, rightSum = 6512
i: 15953, data[i]: 8, leftsum = 124552, rightSum = 6520
i: 15952, data[i]: 8, leftsum = 124544, rightSum = 6528
i: 15951, data[i]: 4, leftsum = 124540, rightSum = 6532
i: 15950, data[i]: 1, leftsum = 124539, rightSum = 6533
i: 15949, data[i]: 1, leftsum = 124538, rightSum = 6534
i: 15948, data[i]: 2, leftsum = 124536, rightSum = 6536
i: 15947, data[i]: 8, leftsum = 124528, rightSum = 6544
i: 15946, data[i]: 4, leftsum = 124524, rightSum = 6548
i: 15945, data[i]: 4, leftsum = 124520, rightSum = 6552
i: 15944, data[i]: 2, leftsum = 124518, rightSum = 6554
i: 15943, data[i]: 1, leftsum = 124517, rightSum = 6555
i: 15942, data[i]: 1, leftsum = 124516, rightSum = 6556
i: 15941, data[i]: 1, leftsum = 124515, rightSum = 6557
i: 15940, data[i]: 1, leftsum = 124514, rightSum = 6558
i: 15939, data[i]: 0, leftsum = 124514, rightSum = 6558
i: 15938, data[i]: 0, leftsum = 124514, rightSum = 6558
i: 15937, data[i]: 2, leftsum = 124512, rightSum = 6560
i: 15936, data[i]: 1, leftsum = 124511, rightSum = 6561
i: 15935, data[i]: 1, leftsum = 124510, rightSum = 6562
i: 15934, data[i]: 2, leftsum = 124508, rightSum = 6564
i: 15933, data[i]: 2, leftsum = 124506, rightSum = 6566
i: 15932, data[i]: 2, leftsum = 124504, rightSum = 6568
i: 15931, data[i]: 8, leftsum = 124496, rightSum = 6576
i: 15930, data[i]: 16, leftsum = 124480, rightSum = 6592
i: 15929, data[i]: 8, leftsum = 124472, rightSum = 6600
i: 15928, data[i]: 8, leftsum = 124464, rightSum = 6608
i: 15927, data[i]: 8, leftsum = 124456, rightSum = 6616
i: 15926, data[i]: 4, leftsum = 124452, rightSum = 6620
i: 15925, data[i]: 2, leftsum = 124450, rightSum = 6622
i: 15924, data[i]: 2, leftsum = 124448, rightSum = 6624
i: 15923, data[i]: 16, leftsum = 124432, rightSum = 6640
i: 15922, data[i]: 2, leftsum = 124430, rightSum = 6642
i: 15921, data[i]: 2, leftsum = 124428, rightSum = 6644
i: 15920, data[i]: 1, leftsum = 124427, rightSum = 6645
i: 15919, data[i]: 1, leftsum = 124426, rightSum = 6646
i: 15918, data[i]: 1, leftsum = 124425, rightSum = 6647
i: 15917, data[i]: 1, leftsum = 124424, rightSum = 6648
i: 15916, data[i]: 8, leftsum = 124416, rightSum = 6656
i: 15915, data[i]: 256, leftsum = 124160, rightSum = 6912
i: 15914, data[i]: 64, leftsum = 124096, rightSum = 6976
i: 15913, data[i]: 64, leftsum = 124032, rightSum = 7040
i: 15912, data[i]: 64, leftsum = 123968, rightSum = 7104
i: 15911, data[i]: 32, leftsum = 123936, rightSum = 7136
i: 15910, data[i]: 32, leftsum = 123904, rightSum = 7168
i: 15909, data[i]: 16, leftsum = 123888, rightSum = 7184
i: 15908, data[i]: 16, leftsum = 123872, rightSum = 7200
i: 15907, data[i]: 16, leftsum = 123856, rightSum = 7216
i: 15906, data[i]: 4, leftsum = 123852, rightSum = 7220
i: 15905, data[i]: 4, leftsum = 123848, rightSum = 7224
i: 15904, data[i]: 4, leftsum = 123844, rightSum = 7228
i: 15903, data[i]: 4, leftsum = 123840, rightSum = 7232
i: 15902, data[i]: 64, leftsum = 123776, rightSum = 7296
i: 15901, data[i]: 128, leftsum = 123648, rightSum = 7424
i: 15900, data[i]: 64, leftsum = 123584, rightSum = 7488
i: 15899, data[i]: 64, leftsum = 123520, rightSum = 7552
i: 15898, data[i]: 64, leftsum = 123456, rightSum = 7616
i: 15897, data[i]: 64, leftsum = 123392, rightSum = 7680
i: 15896, data[i]: 64, leftsum = 123328, rightSum = 7744
i: 15895, data[i]: 32, leftsum = 123296, rightSum = 7776
i: 15894, data[i]: 16, leftsum = 123280, rightSum = 7792
i: 15893, data[i]: 16, leftsum = 123264, rightSum = 7808
i: 15892, data[i]: 64, leftsum = 123200, rightSum = 7872
i: 15891, data[i]: 64, leftsum = 123136, rightSum = 7936
i: 15890, data[i]: 128, leftsum = 123008, rightSum = 8064
i: 15889, data[i]: 128, leftsum = 122880, rightSum = 8192
i: 15888, data[i]: 8, leftsum = 122872, rightSum = 8200
i: 15887, data[i]: 8, leftsum = 122864, rightSum = 8208
i: 15886, data[i]: 8, leftsum = 122856, rightSum = 8216
i: 15885, data[i]: 8, leftsum = 122848, rightSum = 8224
i: 15884, data[i]: 4, leftsum = 122844, rightSum = 8228
i: 15883, data[i]: 2, leftsum = 122842, rightSum = 8230
i: 15882, data[i]: 2, leftsum = 122840, rightSum = 8232
i: 15881, data[i]: 8, leftsum = 122832, rightSum = 8240
i: 15880, data[i]: 4, leftsum = 122828, rightSum = 8244
i: 15879, data[i]: 4, leftsum = 122824, rightSum = 8248
i: 15878, data[i]: 4, leftsum = 122820, rightSum = 8252
i: 15877, data[i]: 4, leftsum = 122816, rightSum = 8256
i: 15876, data[i]: 4, leftsum = 122812, rightSum = 8260
i: 15875, data[i]: 4, leftsum = 122808, rightSum = 8264
i: 15874, data[i]: 8, leftsum = 122800, rightSum = 8272
i: 15873, data[i]: 1, leftsum = 122799, rightSum = 8273
i: 15872, data[i]: 0, leftsum = 122799, rightSum = 8273
i: 15871, data[i]: 0, leftsum = 122799, rightSum = 8273
i: 15870, data[i]: 0, leftsum = 122799, rightSum = 8273
i: 15869, data[i]: 0, leftsum = 122799, rightSum = 8273
i: 15868, data[i]: 0, leftsum = 122799, rightSum = 8273
i: 15867, data[i]: 0, leftsum = 122799, rightSum = 8273
i: 15866, data[i]: 1, leftsum = 122798, rightSum = 8274
i: 15865, data[i]: 1, leftsum = 122797, rightSum = 8275
i: 15864, data[i]: 1, leftsum = 122796, rightSum = 8276
i: 15863, data[i]: 2, leftsum = 122794, rightSum = 8278
i: 15862, data[i]: 2, leftsum = 122792, rightSum = 8280
i: 15861, data[i]: 4, leftsum = 122788, rightSum = 8284
i: 15860, data[i]: 4, leftsum = 122784, rightSum = 8288
i: 15859, data[i]: 16, leftsum = 122768, rightSum = 8304
i: 15858, data[i]: 16, leftsum = 122752, rightSum = 8320
i: 15857, data[i]: 16, leftsum = 122736, rightSum = 8336
i: 15856, data[i]: 8, leftsum = 122728, rightSum = 8344
i: 15855, data[i]: 8, leftsum = 122720, rightSum = 8352
i: 15854, data[i]: 32, leftsum = 122688, rightSum = 8384
i: 15853, data[i]: 32, leftsum = 122656, rightSum = 8416
i: 15852, data[i]: 32, leftsum = 122624, rightSum = 8448
i: 15851, data[i]: 32, leftsum = 122592, rightSum = 8480
i: 15850, data[i]: 1, leftsum = 122591, rightSum = 8481
i: 15849, data[i]: 1, leftsum = 122590, rightSum = 8482
i: 15848, data[i]: 2, leftsum = 122588, rightSum = 8484
i: 15847, data[i]: 4, leftsum = 122584, rightSum = 8488
i: 15846, data[i]: 8, leftsum = 122576, rightSum = 8496
i: 15845, data[i]: 4, leftsum = 122572, rightSum = 8500
i: 15844, data[i]: 4, leftsum = 122568, rightSum = 8504
i: 15843, data[i]: 4, leftsum = 122564, rightSum = 8508
i: 15842, data[i]: 4, leftsum = 122560, rightSum = 8512
i: 15841, data[i]: 8, leftsum = 122552, rightSum = 8520
i: 15840, data[i]: 4, leftsum = 122548, rightSum = 8524
i: 15839, data[i]: 4, leftsum = 122544, rightSum = 8528
i: 15838, data[i]: 4, leftsum = 122540, rightSum = 8532
i: 15837, data[i]: 4, leftsum = 122536, rightSum = 8536
i: 15836, data[i]: 4, leftsum = 122532, rightSum = 8540
i: 15835, data[i]: 4, leftsum = 122528, rightSum = 8544
i: 15834, data[i]: 16, leftsum = 122512, rightSum = 8560
i: 15833, data[i]: 4, leftsum = 122508, rightSum = 8564
i: 15832, data[i]: 4, leftsum = 122504, rightSum = 8568
i: 15831, data[i]: 4, leftsum = 122500, rightSum = 8572
i: 15830, data[i]: 4, leftsum = 122496, rightSum = 8576
i: 15829, data[i]: 32, leftsum = 122464, rightSum = 8608
i: 15828, data[i]: 32, leftsum = 122432, rightSum = 8640
i: 15827, data[i]: 32, leftsum = 122400, rightSum = 8672
i: 15826, data[i]: 32, leftsum = 122368, rightSum = 8704
i: 15825, data[i]: 4, leftsum = 122364, rightSum = 8708
i: 15824, data[i]: 4, leftsum = 122360, rightSum = 8712
i: 15823, data[i]: 8, leftsum = 122352, rightSum = 8720
i: 15822, data[i]: 1, leftsum = 122351, rightSum = 8721
i: 15821, data[i]: 1, leftsum = 122350, rightSum = 8722
i: 15820, data[i]: 1, leftsum = 122349, rightSum = 8723
i: 15819, data[i]: 0, leftsum = 122349, rightSum = 8723
i: 15818, data[i]: 0, leftsum = 122349, rightSum = 8723
i: 15817, data[i]: 0, leftsum = 122349, rightSum = 8723
i: 15816, data[i]: 0, leftsum = 122349, rightSum = 8723
i: 15815, data[i]: 1, leftsum = 122348, rightSum = 8724
i: 15814, data[i]: 0, leftsum = 122348, rightSum = 8724
i: 15813, data[i]: 1, leftsum = 122347, rightSum = 8725
i: 15812, data[i]: 1, leftsum = 122346, rightSum = 8726
i: 15811, data[i]: 1, leftsum = 122345, rightSum = 8727
i: 15810, data[i]: 1, leftsum = 122344, rightSum = 8728
i: 15809, data[i]: 2, leftsum = 122342, rightSum = 8730
i: 15808, data[i]: 2, leftsum = 122340, rightSum = 8732
i: 15807, data[i]: 4, leftsum = 122336, rightSum = 8736
i: 15806, data[i]: 8, leftsum = 122328, rightSum = 8744
i: 15805, data[i]: 1, leftsum = 122327, rightSum = 8745
i: 15804, data[i]: 1, leftsum = 122326, rightSum = 8746
i: 15803, data[i]: 1, leftsum = 122325, rightSum = 8747
i: 15802, data[i]: 1, leftsum = 122324, rightSum = 8748
i: 15801, data[i]: 2, leftsum = 122322, rightSum = 8750
i: 15800, data[i]: 2, leftsum = 122320, rightSum = 8752
i: 15799, data[i]: 2, leftsum = 122318, rightSum = 8754
i: 15798, data[i]: 2, leftsum = 122316, rightSum = 8756
i: 15797, data[i]: 1, leftsum = 122315, rightSum = 8757
i: 15796, data[i]: 0, leftsum = 122315, rightSum = 8757
i: 15795, data[i]: 0, leftsum = 122315, rightSum = 8757
i: 15794, data[i]: 0, leftsum = 122315, rightSum = 8757
i: 15793, data[i]: 0, leftsum = 122315, rightSum = 8757
i: 15792, data[i]: 1, leftsum = 122314, rightSum = 8758
i: 15791, data[i]: 2, leftsum = 122312, rightSum = 8760
i: 15790, data[i]: 4, leftsum = 122308, rightSum = 8764
i: 15789, data[i]: 2, leftsum = 122306, rightSum = 8766
i: 15788, data[i]: 2, leftsum = 122304, rightSum = 8768
i: 15787, data[i]: 4, leftsum = 122300, rightSum = 8772
i: 15786, data[i]: 4, leftsum = 122296, rightSum = 8776
i: 15785, data[i]: 4, leftsum = 122292, rightSum = 8780
i: 15784, data[i]: 2, leftsum = 122290, rightSum = 8782
i: 15783, data[i]: 2, leftsum = 122288, rightSum = 8784
i: 15782, data[i]: 2, leftsum = 122286, rightSum = 8786
i: 15781, data[i]: 1, leftsum = 122285, rightSum = 8787
i: 15780, data[i]: 1, leftsum = 122284, rightSum = 8788
i: 15779, data[i]: 2, leftsum = 122282, rightSum = 8790
i: 15778, data[i]: 1, leftsum = 122281, rightSum = 8791
i: 15777, data[i]: 0, leftsum = 122281, rightSum = 8791
i: 15776, data[i]: 1, leftsum = 122280, rightSum = 8792
i: 15775, data[i]: 1, leftsum = 122279, rightSum = 8793
i: 15774, data[i]: 0, leftsum = 122279, rightSum = 8793
i: 15773, data[i]: 0, leftsum = 122279, rightSum = 8793
i: 15772, data[i]: 0, leftsum = 122279, rightSum = 8793
i: 15771, data[i]: 0, leftsum = 122279, rightSum = 8793
i: 15770, data[i]: 0, leftsum = 122279, rightSum = 8793
i: 15769, data[i]: 0, leftsum = 122279, rightSum = 8793
i: 15768, data[i]: 1, leftsum = 122278, rightSum = 8794
i: 15767, data[i]: 0, leftsum = 122278, rightSum = 8794
i: 15766, data[i]: 0, leftsum = 122278, rightSum = 8794
i: 15765, data[i]: 1, leftsum = 122277, rightSum = 8795
i: 15764, data[i]: 0, leftsum = 122277, rightSum = 8795
i: 15763, data[i]: 0, leftsum = 122277, rightSum = 8795
i: 15762, data[i]: 1, leftsum = 122276, rightSum = 8796
i: 15761, data[i]: 2, leftsum = 122274, rightSum = 8798
i: 15760, data[i]: 1, leftsum = 122273, rightSum = 8799
i: 15759, data[i]: 0, leftsum = 122273, rightSum = 8799
i: 15758, data[i]: 0, leftsum = 122273, rightSum = 8799
i: 15757, data[i]: 1, leftsum = 122272, rightSum = 8800
i: 15756, data[i]: 16, leftsum = 122256, rightSum = 8816
i: 15755, data[i]: 8, leftsum = 122248, rightSum = 8824
i: 15754, data[i]: 8, leftsum = 122240, rightSum = 8832
i: 15753, data[i]: 32, leftsum = 122208, rightSum = 8864
i: 15752, data[i]: 16, leftsum = 122192, rightSum = 8880
i: 15751, data[i]: 16, leftsum = 122176, rightSum = 8896
i: 15750, data[i]: 16, leftsum = 122160, rightSum = 8912
i: 15749, data[i]: 1, leftsum = 122159, rightSum = 8913
i: 15748, data[i]: 0, leftsum = 122159, rightSum = 8913
i: 15747, data[i]: 0, leftsum = 122159, rightSum = 8913
i: 15746, data[i]: 0, leftsum = 122159, rightSum = 8913
i: 15745, data[i]: 0, leftsum = 122159, rightSum = 8913
i: 15744, data[i]: 1, leftsum = 122158, rightSum = 8914
i: 15743, data[i]: 1, leftsum = 122157, rightSum = 8915
i: 15742, data[i]: 1, leftsum = 122156, rightSum = 8916
i: 15741, data[i]: 4, leftsum = 122152, rightSum = 8920
i: 15740, data[i]: 2, leftsum = 122150, rightSum = 8922
i: 15739, data[i]: 2, leftsum = 122148, rightSum = 8924
i: 15738, data[i]: 1, leftsum = 122147, rightSum = 8925
i: 15737, data[i]: 0, leftsum = 122147, rightSum = 8925
i: 15736, data[i]: 1, leftsum = 122146, rightSum = 8926
i: 15735, data[i]: 0, leftsum = 122146, rightSum = 8926
i: 15734, data[i]: 1, leftsum = 122145, rightSum = 8927
i: 15733, data[i]: 0, leftsum = 122145, rightSum = 8927
i: 15732, data[i]: 1, leftsum = 122144, rightSum = 8928
i: 15731, data[i]: 0, leftsum = 122144, rightSum = 8928
i: 15730, data[i]: 0, leftsum = 122144, rightSum = 8928
i: 15729, data[i]: 0, leftsum = 122144, rightSum = 8928
i: 15728, data[i]: 0, leftsum = 122144, rightSum = 8928
i: 15727, data[i]: 0, leftsum = 122144, rightSum = 8928
i: 15726, data[i]: 0, leftsum = 122144, rightSum = 8928
i: 15725, data[i]: 2, leftsum = 122142, rightSum = 8930
i: 15724, data[i]: 2, leftsum = 122140, rightSum = 8932
i: 15723, data[i]: 2, leftsum = 122138, rightSum = 8934
i: 15722, data[i]: 2, leftsum = 122136, rightSum = 8936
i: 15721, data[i]: 8, leftsum = 122128, rightSum = 8944
i: 15720, data[i]: 2, leftsum = 122126, rightSum = 8946
i: 15719, data[i]: 2, leftsum = 122124, rightSum = 8948
i: 15718, data[i]: 1, leftsum = 122123, rightSum = 8949
i: 15717, data[i]: 1, leftsum = 122122, rightSum = 8950
i: 15716, data[i]: 1, leftsum = 122121, rightSum = 8951
i: 15715, data[i]: 0, leftsum = 122121, rightSum = 8951
i: 15714, data[i]: 1, leftsum = 122120, rightSum = 8952
i: 15713, data[i]: 8, leftsum = 122112, rightSum = 8960
i: 15712, data[i]: 128, leftsum = 121984, rightSum = 9088
i: 15711, data[i]: 64, leftsum = 121920, rightSum = 9152
i: 15710, data[i]: 64, leftsum = 121856, rightSum = 9216
i: 15709, data[i]: 64, leftsum = 121792, rightSum = 9280
i: 15708, data[i]: 8, leftsum = 121784, rightSum = 9288
i: 15707, data[i]: 1, leftsum = 121783, rightSum = 9289
i: 15706, data[i]: 1, leftsum = 121782, rightSum = 9290
i: 15705, data[i]: 2, leftsum = 121780, rightSum = 9292
i: 15704, data[i]: 4, leftsum = 121776, rightSum = 9296
i: 15703, data[i]: 4, leftsum = 121772, rightSum = 9300
i: 15702, data[i]: 4, leftsum = 121768, rightSum = 9304
i: 15701, data[i]: 8, leftsum = 121760, rightSum = 9312
i: 15700, data[i]: 8, leftsum = 121752, rightSum = 9320
i: 15699, data[i]: 8, leftsum = 121744, rightSum = 9328
i: 15698, data[i]: 4, leftsum = 121740, rightSum = 9332
i: 15697, data[i]: 4, leftsum = 121736, rightSum = 9336
i: 15696, data[i]: 8, leftsum = 121728, rightSum = 9344
i: 15695, data[i]: 8, leftsum = 121720, rightSum = 9352
i: 15694, data[i]: 8, leftsum = 121712, rightSum = 9360
i: 15693, data[i]: 4, leftsum = 121708, rightSum = 9364
i: 15692, data[i]: 4, leftsum = 121704, rightSum = 9368
i: 15691, data[i]: 4, leftsum = 121700, rightSum = 9372
i: 15690, data[i]: 4, leftsum = 121696, rightSum = 9376
i: 15689, data[i]: 8, leftsum = 121688, rightSum = 9384
i: 15688, data[i]: 8, leftsum = 121680, rightSum = 9392
i: 15687, data[i]: 8, leftsum = 121672, rightSum = 9400
i: 15686, data[i]: 8, leftsum = 121664, rightSum = 9408
i: 15685, data[i]: 2, leftsum = 121662, rightSum = 9410
i: 15684, data[i]: 1, leftsum = 121661, rightSum = 9411
i: 15683, data[i]: 0, leftsum = 121661, rightSum = 9411
i: 15682, data[i]: 0, leftsum = 121661, rightSum = 9411
i: 15681, data[i]: 1, leftsum = 121660, rightSum = 9412
i: 15680, data[i]: 2, leftsum = 121658, rightSum = 9414
i: 15679, data[i]: 1, leftsum = 121657, rightSum = 9415
i: 15678, data[i]: 0, leftsum = 121657, rightSum = 9415
i: 15677, data[i]: 0, leftsum = 121657, rightSum = 9415
i: 15676, data[i]: 1, leftsum = 121656, rightSum = 9416
